task,split_mode,missingness_name,missingness_mechanism,missingness_scope,method,rac1p_equalized_odds_diff,sex_equalized_odds_diff,rac1p_x_sex_equalized_odds_diff
ACSEmployment,temporal,mcar_60_train_prediction,mcar,train_and_prediction,erm,0.23363818834237607,0.06549917879618264,0.33864535521459105
ACSEmployment,temporal,mcar_80_train_prediction,mcar,train_and_prediction,erm,0.23363818834237607,0.06549917879618264,0.33864535521459105
ACSEmployment,temporal,mnar_10_train_prediction,mnar,train_and_prediction,erm,0.23363818834237607,0.06549917879618264,0.33864535521459105
ACSEmployment,temporal,mnar_20_train_prediction,mnar,train_and_prediction,erm,0.23363818834237607,0.06549917879618264,0.33864535521459105
ACSEmployment,temporal,mnar_50_train_prediction,mnar,train_and_prediction,erm,0.23363818834237607,0.06549917879618264,0.33864535521459105
ACSEmployment,temporal,none_observed,mcar,train_and_prediction,erm,0.23363818834237607,0.06549917879618264,0.33864535521459105
ACSEmployment,temporal,full,mcar,train_and_prediction,feature_mixing,0.22167285707985274,0.06471996860656119,0.34120829799918373
ACSEmployment,temporal,mcar_10_train_prediction,mcar,train_and_prediction,feature_mixing,0.22167285707985274,0.06471996860656119,0.34120829799918373
ACSEmployment,temporal,mcar_20_train_prediction,mcar,train_and_prediction,feature_mixing,0.22167285707985274,0.06471996860656119,0.34120829799918373
ACSEmployment,temporal,mcar_40_train_prediction,mcar,train_and_prediction,feature_mixing,0.22167285707985274,0.06471996860656119,0.34120829799918373
ACSEmployment,temporal,mcar_50_train_prediction,mcar,train_and_prediction,feature_mixing,0.22167285707985274,0.06471996860656119,0.34120829799918373
ACSEmployment,temporal,mcar_60_train_prediction,mcar,train_and_prediction,feature_mixing,0.22167285707985274,0.06471996860656119,0.34120829799918373
ACSEmployment,temporal,mcar_80_train_prediction,mcar,train_and_prediction,feature_mixing,0.22167285707985274,0.06471996860656119,0.34120829799918373
ACSEmployment,temporal,mnar_10_train_prediction,mnar,train_and_prediction,feature_mixing,0.22167285707985274,0.06471996860656119,0.34120829799918373
ACSEmployment,temporal,mnar_20_train_prediction,mnar,train_and_prediction,feature_mixing,0.22167285707985274,0.06471996860656119,0.34120829799918373
