task,split_mode,missingness_name,missingness_mechanism,missingness_scope,method,accuracy,balanced_accuracy,brier,fit_seconds
ACSEmployment,temporal,full,mcar,train_and_prediction,feature_mixing,0.8186463647424519,0.8210694771820888,0.13358910379896177,96.23318706294594
ACSEmployment,temporal,mcar_10_train_prediction,mcar,train_and_prediction,feature_mixing,0.8186463647424519,0.8210694771820888,0.13358910379896177,96.11588441288046
ACSEmployment,temporal,mcar_20_train_prediction,mcar,train_and_prediction,feature_mixing,0.8186463647424519,0.8210694771820888,0.13358910379896177,95.32185585447162
ACSEmployment,temporal,mcar_40_train_prediction,mcar,train_and_prediction,feature_mixing,0.8186463647424519,0.8210694771820888,0.13358910379896177,95.72459018531717
ACSEmployment,temporal,mcar_50_train_prediction,mcar,train_and_prediction,feature_mixing,0.8186463647424519,0.8210694771820888,0.13358910379896177,95.50344048405968
ACSEmployment,temporal,mcar_60_train_prediction,mcar,train_and_prediction,feature_mixing,0.8186463647424519,0.8210694771820888,0.13358910379896177,95.63452647938351
ACSEmployment,temporal,mcar_80_train_prediction,mcar,train_and_prediction,feature_mixing,0.8186463647424519,0.8210694771820888,0.13358910379896177,95.94584617213792
ACSEmployment,temporal,mnar_10_train_prediction,mnar,train_and_prediction,feature_mixing,0.8186463647424519,0.8210694771820888,0.13358910379896177,94.95804122893375
ACSEmployment,temporal,mnar_20_train_prediction,mnar,train_and_prediction,feature_mixing,0.8186463647424519,0.8210694771820888,0.13358910379896177,94.93942867565912
ACSEmployment,temporal,mnar_50_train_prediction,mnar,train_and_prediction,feature_mixing,0.8186463647424519,0.8210694771820888,0.13358910379896177,95.4476635955963
ACSEmployment,temporal,none_observed,mcar,train_and_prediction,feature_mixing,0.8186463647424519,0.8210694771820888,0.13358910379896177,95.7495835988706
ACSEmployment,temporal,full,mcar,train_and_prediction,protected_group_mixing,0.8187763633674175,0.8212261868980193,0.13346447413011936,93.70390004440608
ACSEmployment,temporal,mcar_10_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.8183163623673925,0.8205176042269333,0.1338559555191897,90.52374951800071
ACSEmployment,temporal,mcar_20_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.8181946972840988,0.8204180597283626,0.13361959127742343,92.25439497326424
ACSEmployment,temporal,mcar_40_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.8183013626590665,0.8206904401479848,0.13363649445508882,92.62493281713577
ACSEmployment,temporal,mcar_50_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.8182613637424269,0.8206465992578529,0.13369518324867063,92.53681846446464
ACSEmployment,temporal,mcar_60_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.818453030492429,0.8208245530620037,0.13355274900320177,92.59332085485948
ACSEmployment,temporal,mcar_80_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.818429696659083,0.8207883316680732,0.1333475424504875,94.15193980740678
ACSEmployment,temporal,mnar_10_train_prediction,mnar,train_and_prediction,protected_group_mixing,0.8175746959507321,0.8198166177398583,0.13400615218309941,88.08797148446962
ACSEmployment,temporal,mnar_20_train_prediction,mnar,train_and_prediction,protected_group_mixing,0.8178196956173903,0.8199703725769294,0.13423869379289696,89.03000311339929
ACSEmployment,temporal,mnar_50_train_prediction,mnar,train_and_prediction,protected_group_mixing,0.8182963632424144,0.820651149280208,0.13367710016244164,91.15571574913253
ACSEmployment,temporal,none_observed,mcar,train_and_prediction,protected_group_mixing,0.8181380306590997,0.8201896158254615,0.13395135737788125,17.04612439400389
ACSEmployment,temporal,full,mcar,train_and_prediction,reweighing,0.8182013629507404,0.8202533256172961,0.1339247379894239,16.971004217256812
ACSEmployment,temporal,mcar_10_train_prediction,mcar,train_and_prediction,reweighing,0.8180963629507404,0.8201561283858599,0.13415230889290852,17.122398309796154
ACSEmployment,temporal,mcar_20_train_prediction,mcar,train_and_prediction,reweighing,0.8181480292423977,0.8202072907054904,0.13400426884783004,17.06774923019202
ACSEmployment,temporal,mcar_40_train_prediction,mcar,train_and_prediction,reweighing,0.81800802920073,0.820081177436116,0.1342000362095581,16.99843648599514
ACSEmployment,temporal,mcar_50_train_prediction,mcar,train_and_prediction,reweighing,0.8181596964090769,0.8202338877568535,0.13383914551476891,16.98140149585009
ACSEmployment,temporal,mcar_60_train_prediction,mcar,train_and_prediction,reweighing,0.81821969653408,0.8203056109315969,0.13377971487675452,17.00681042667141
ACSEmployment,temporal,mcar_80_train_prediction,mcar,train_and_prediction,reweighing,0.8182046967840862,0.8202650959442792,0.13396085095250948,17.101721265062892
ACSEmployment,temporal,mnar_10_train_prediction,mnar,train_and_prediction,reweighing,0.8179330292840654,0.8199723206698348,0.1339430735566089,16.908176157143437
ACSEmployment,temporal,mnar_20_train_prediction,mnar,train_and_prediction,reweighing,0.8181313624923957,0.820179423659083,0.13421927635191977,16.81881631052226
ACSEmployment,temporal,mnar_50_train_prediction,mnar,train_and_prediction,reweighing,0.8179596957423936,0.8200126439128342,0.1340804602775819,16.91391524327464
ACSEmployment,temporal,none_observed,mcar,train_and_prediction,reweighing,0.8181380306590997,0.8201896158254615,0.13395135737788125,16.994959138659457
ACSEmployment,temporal,full,mcar,train_and_prediction,threshold_optimizer_eo,0.7333629185312966,0.7430280641794779,0.26663708146870335,5.379503391114485
ACSEmployment,temporal,mcar_10_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.7019194615698725,0.7014914226666126,0.29808053843012744,5.41148559160932
