method,metric,n_pairs,delta_vs_erm,ci_low,ci_high,cluster_delta_vs_erm,cluster_ci_low,cluster_ci_high,n_clusters,paired_t,raw_p,holm_p
feature_mixing,sex_equal_opportunity_diff,6160,0.0001965786001432356,-1.3356384962660032e-05,0.00038581608964486334,0.0001965786001432356,-0.0007305867223664209,0.001029542041232916,112,1.9682117762801694,0.049088462169223045,1.0
feature_mixing,sex_fpr_diff,6160,0.0035927571368458136,0.003390558914473204,0.0038003882122713295,0.0035927571368458136,0.0024764120438029134,0.004741321674135712,112,33.76683597228057,1.7806490908397623e-229,2.261424345366498e-227
feature_mixing,sex_equalized_odds_diff,6160,0.0025165761183468427,0.002268729937197289,0.0027537129228723226,0.0025165761183468427,0.0012790331273856996,0.003865280526445022,112,20.467816242917237,3.93224491961445e-90,3.9322449196144503e-88
feature_mixing,sex_calibration_brier_diff,6160,0.0004815610264201882,0.00042110993060713646,0.0005378614207219524,0.0004815610264201882,1.9752171430095488e-05,0.0009176495580084365,112,15.1082404726672,1.1463876584864436e-50,1.0432127692226637e-48
feature_mixing,sex_predictive_parity_diff,6160,0.0012886354508365309,0.001152096269907547,0.0014219027119997114,0.0012886354508365309,0.000688147923793145,0.001868607514023768,112,17.33105383229064,9.750339896165283e-66,9.360326300318673e-64
feature_mixing,sex_worst_group_accuracy,6160,-0.00023083699494167082,-0.0003243938642907806,-0.00014980931839668745,-0.00023083699494167082,-0.000669629811647074,0.00019162409060095195,112,-5.371370678340487,8.100377020708606e-08,3.7387447027264663e-06
feature_mixing,sex_worst_group_fnr,6160,-0.004838773266666623,-0.005194872481566148,-0.00445952047223688,-0.004838773266666623,-0.007342323000720338,-0.002425606209655356,112,-25.699905248022745,1.8711945564408007e-138,2.151873739906921e-136
feature_mixing,sex_worst_group_fpr,6160,-0.0010675727324906531,-0.00157635643050477,-0.000517375111601894,-0.0010675727324906531,-0.00533348604652542,0.0026597806340559428,112,-3.8259247140653576,0.00013157098880817715,0.004078700653053492
feature_mixing,rac1p_x_sex_demographic_parity_diff,6160,0.010876662031335986,0.010153481311843422,0.011560288664115684,0.010876662031335986,0.00718267777364773,0.015082742274287918,112,29.285679161060955,1.2670464753616875e-176,1.533126235187642e-174
feature_mixing,rac1p_x_sex_demographic_parity_ratio,6160,-0.002484420182545869,-0.0033400330598450617,-0.0016232367686777598,-0.002484420182545869,-0.007202683903770383,0.002237030818389339,112,-5.306575258782352,1.1560648405843146e-07,4.73986584639569e-06
